# Закон Ципфа
# Rank	Frequency	Term	Zipf_Theoretical
254	14490	prei	5414.74
255	14488	В	5393.51
256	14338	mov	5372.44
257	14337	scor	5351.53
258	14274	2008	5330.79
259	14273	award	5310.21
260	14246	2009	5289.78
261	14223	key	5269.52
262	14159	game	5249.40
263	14156	из	5229.44
264	14134	then	5209.64
265	14097	practice	5189.98
266	14063	h	5170.47
267	13967	club	5151.10
268	13939	2011	5131.88
269	13923	non	5112.80
270	13840	9	5093.87
271	13823	more	5075.07
272	13804	2019	5056.41
273	13740	tank	5037.89
274	13703	bold	5019.50
275	13672	runn	5001.25
276	13627	led	4983.13
277	13621	Формул	4965.14
278	13616	since	4947.28
279	13514	2012	4929.55
280	13510	2007	4911.94
281	13482	run	4894.46
282	13464	2022	4877.11
283	13463	2014	4859.87
284	13439	wheel	4842.76
285	13432	2023	4825.77
286	13416	until	4808.90
287	13370	european	4792.14
288	13353	20	4775.50
289	13340	manufactur	4758.98
290	13334	began	4742.57
291	13326	una	4726.27
292	13321	bmw	4710.08
293	13264	2020	4694.01
294	13248	join	4678.04
295	13240	pow	4662.18
296	13232	einen	4646.43
297	13227	2021	4630.79
298	13163	ent	4615.25
299	13157	full	4599.81
300	13137	не	4584.48
301	13112	have	4569.25
302	13099	2016	4554.12
303	13080	best	4539.09
304	12978	2013	4524.16
305	12975	system	4509.32
306	12963	drive	4494.59
307	12960	2006	4479.95
308	12951	auch	4465.40
309	12879	2015	4450.95
310	12862	f1	4436.59
311	12828	schumach	4422.33
312	12805	announc	4408.15
313	12779	victory	4394.07
314	12723	howev	4380.08
315	12684	league	4366.17
316	12630	2018	4352.35
317	12601	turn	4338.62
318	12566	mile	4324.98
319	12552	between	4311.42
320	12519	2017	4297.95
321	12482	sess	4284.56
322	12456	nicht	4271.25
323	12436	may	4258.03
324	12421	2000	4244.89
325	12372	fue	4231.83
326	12295	each	4218.85
327	12282	мест	4205.94
328	12261	ersten	4193.12
329	12242	septemb	4180.38
330	12232	hatte	4167.71
331	12157	test	4155.12
332	12117	truck	4142.60
333	12047	behind	4130.16
334	12042	product	4117.80
335	12022	2024	4105.50
336	12009	ear	4093.29
337	12001	mercede	4081.14
338	11996	william	4069.07
339	11976	fórmula	4057.06
340	11945	16	4045.13
341	11929	30	4033.27
342	11808	six	4021.47
343	11799	saison	4009.75
344	11736	red	3998.09
345	11688	ahead	3986.50
346	11666	history	3974.98
347	11651	hamilton	3963.53
348	11644	chassi	3952.14
349	11642	al	3940.81
350	11635	work	3929.55
351	11624	2005	3918.36
352	11556	ital	3907.23
353	11555	march	3896.16
354	11518	became	3885.15
355	11513	august	3874.21
356	11512	equipo	3863.33
357	11487	than	3852.50
358	11455	19	3841.74
359	11425	competit	3831.04
360	11421	company	3820.40
361	11421	11	3809.82
362	11412	italian	3799.29
363	11323	did	3788.83
364	11286	campeonato	3778.42
365	11182	18	3768.07
366	11117	mm	3757.77
367	11108	bas	3747.53
368	11103	14	3737.35
369	11075	он	3727.22
370	11033	beim	3717.15
371	10971	replac	3707.13
372	10906	will	3697.16
373	10862	well	3687.25
374	10849	built	3677.39
375	10815	ten	3667.58
376	10804	octob	3657.83
377	10787	set	3648.13
378	10743	honda	3638.48
379	10719	fahr	3628.88
380	10688	state	3619.33
381	10673	again	3609.83
382	10637	australian	3600.38
383	10630	2025	3590.98
384	10616	known	3581.62
385	10596	overall	3572.32
386	10575	july	3563.07
387	10565	lotu	3553.86
388	10552	vers	3544.70
389	10551	13	3535.59
390	10456	sup	3526.52
391	10435	park	3517.50
392	10432	kw	3508.53
393	10405	großen	3499.60
394	10404	000	3490.72
395	10401	zum	3481.88
396	10397	перв	3473.09
397	10365	fifth	3464.34
398	10309	25	3455.64
399	10298	gener	3446.98
400	10298	group	3438.36
401	10297	long	3429.79
402	10283	2004	3421.25
403	10277	entry	3412.76
404	10271	june	3404.32
405	10243	april	3395.91
406	10211	sein	3387.55
407	10209	through	3379.22
408	10204	same	3370.94
409	10118	runde	3362.70
410	10107	crash	3354.50
411	10095	котор	3346.34
412	10089	field	3338.21
413	10077	piloto	3330.13
414	9921	Гран	3322.09
415	9830	автомобил	3314.08
416	9806	left	3306.12
417	9764	17	3298.19
418	9745	mark	3290.30
419	9744	21	3282.44
420	9737	high	3274.63
421	9720	а	3266.85
422	9711	seat	3259.11
423	9705	nВ	3251.40
424	9653	bis	3243.74
425	9652	challenge	3236.10
426	9629	como	3228.51
427	9609	дл	3220.95
428	9561	platz	3213.42
429	9555	wins	3205.93
430	9419	rear	3198.47
431	9381	2001	3191.05
432	9365	2003	3183.67
433	9362	toyota	3176.31
434	9319	list	3169.00
435	9294	pro	3161.71
436	9282	v8	3154.46
437	9281	novemb	3147.24
438	9278	martin	3140.05
439	9259	website	3132.90
440	9259	daytona	3125.78
441	9246	german	3118.69
442	9239	стал	3111.64
443	9238	perform	3104.61
444	9192	success	3097.62
445	9123	этап	3090.66
446	9099	remain	3083.73
447	9034	эт	3076.83
448	9020	kart	3069.96
449	9019	2002	3063.13
450	8978	produc	3056.32
451	8962	bull	3049.54
452	8948	teamm	3042.80
453	8912	minute	3036.08
454	8908	numb	3029.39
455	8901	hav	3022.73
456	8877	hill	3016.11
457	8871	change	3009.51
458	8871	michael	3002.93
459	8801	late	2996.39
460	8792	e	2989.88
461	8737	mph	2983.39
462	8727	fail	2976.94
463	8659	compete	2970.51
464	8645	take	2964.10
465	8633	stage	2957.73
466	8604	gran	2951.38
467	8550	so	2945.06
